Member-Collection(e2,e1)	خریدار، یکی <e1> سندیکای </e1>  <e2> سرمایه گذاران </e2> اروپاییانی که اولین سرمایه گذاری خود را در نیوزیلند سرمایه گذاری می کنند.
Other	 <e1> آژانس </e1> قانون ایالات متحده در حال بررسی است <e2> بیانیه </e2> این حداقل یک هواپیما برای پرواز ناامن در نظر گرفته شد.
Member-Collection(e2,e1)	بر اساس یک قضاوت نادرست شورای تحقیقات ملی اجازه داد که  <e1> هیئت  </e1>  <e2> طرفداران  </e2> هیدروژن گزارش عمیقا ناقصی را بر ضد هیبرید‌های پلاگین منتشر کند .
Component-Whole(e2,e1)	بچه هایی که روی زانو مادرشان نشسته بودند، با اسباب بازی ها در یک میز جلو <e1> تصویر .. </e1> که در آن <e2> سوراخ </e2> آنها بازی می کردند.
Cause-Effect(e2,e1)	 <e1> سقط جنین  </e1> به علت  <e2> مشکلات  </e2> یکباره و غیر قابل تکرار   ژنتیکی   اتفاق می افتد .
Entity-Destination(e1,e2)	شرکت در تلاش <e2> طرح </e2>  <e1> پول </e1> داد.
Member-Collection(e2,e1)	خریدار ، یک  <e1> سندیکای  </e1>  <e2> سرمایه گذاران  </e2> اروپایی است که اولین سرمایه گذاری خود را در نیوزیلند انجام می دهند .
Content-Container(e1,e2)	یک  <e1> نسخه  </e1> از این نظرسنجی در  <e2> بسته‌های  </e2> پشتیبان تهیه شده است .
Other	 <e1> آژانس  </e1> قانونگذاری ایالات متحده در حال تحقیق بر روی  <e2> اظهاراتی  </e2> بود که حداقل یک هواپیما برا پرواز نا امن در نظر گرفته می شد .
Other	 <e1> صحنه ورزشی </e1>  <e2> قدرت </e2> خود را در مبارزه نشان دهید
Other	 <e1> صحنه ورزش  </e1>  <e2> قدرت  </e2> خود را در مبارزه نشان می کند .
Component-Whole(e2,e1)	کودکانی که روی زانوی مادرشان نشسته بودند ، با اسباب‌بازی روی یک میز جلوی  <e1> تصویری  </e1> که در آن  <e2> سوراخ هایی  </e2> بود بازی می‌کردند .
Member-Collection(e2,e1)	بر اساس یک قضاوت نادرست شورای تحقیقات ملی مجاز است <e1> هیئت مدیره </e1>  <e2> طرفداران </e2> هیدروژن گزارش های عمیق معیوب را در برابر هیبرید های پلاگین منتشر می کند.
Entity-Destination(e1,e2)	دانشمند  <e1> ماده  </e1> مایع را در سه مرحله به یک  <e2> شیشه نمونه  </e2> ریخت .
Entity-Destination(e1,e2)	دانشمند <e1> موضوع </e1> مایع در سه مرحله به یک <e2> شیشه نمونه </e2> ریخت
Entity-Destination(e1,e2)	شرکت در تلاشی مایوسانه به این  <e2> پروژه  </e2>  <e1> پول  </e1> داد .
Message-Topic(e1,e2)	هر سوال نیاز به یک  <e1> یادداشت  </e1> متنی دارد تا  <e2> امتیازبندی  </e2> را توضیح دهد .
Content-Container(e1,e2)	یک <e1> نسخه </e1> از این نظرسنجی در <e2> بسته ها </e2> پشتیبان گیری.
Message-Topic(e1,e2)	هر سوال نیاز به یک <e1> یادداشت </e1> متن متن دارد <e2> نمره دهی </e2> توضیح.
Cause-Effect(e2,e1)	 <e1> سقط جنین </e1> ناشی از <e2> مشکلات </e2> گاهی اوقات و غیر تکراری ژنتیکی رخ می دهد.
